sky130_fd_sc_hs__xor3_4	A:I B:I C:I VGND:I VNB:I VPB:I VPWR:I X:O
Name	Formula	nd	ng	ns	nb	mname	m	w	l	mult	sa	sb	sd	topography	area	perim
MMIP3	MOSFET	X	net117	VPWR	VPB	pshort	4	1.12	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI650	MOSFET	mid1	Cb	net117	VPB	pshort	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI1	MOSFET	mid2	C	net117	VPB	pshort	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI33	MOSFET	Cb	C	VPWR	VPB	pshort	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI45	MOSFET	Ab	A	VPWR	VPB	pshort	1	1.0	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI47	MOSFET	Abb	Ab	VPWR	VPB	pshort	1	1.0	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI19	MOSFET	mid1	Bb	Ab	VPB	pshort	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI16	MOSFET	Bb	B	VPWR	VPB	pshort	1	1.12	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI23	MOSFET	mid1	B	Abb	VPB	pshort	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI26	MOSFET	mid2	Bb	Abb	VPB	pshort	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI27	MOSFET	mid2	B	Ab	VPB	pshort	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MMIN3	MOSFET	X	net117	VGND	VNB	nlowvt	4	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI34	MOSFET	Cb	C	VGND	VNB	nlowvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI649	MOSFET	mid1	C	net117	VNB	nlowvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI2	MOSFET	mid2	Cb	net117	VNB	nlowvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI44	MOSFET	Ab	A	VGND	VNB	nlowvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI46	MOSFET	Abb	Ab	VGND	VNB	nlowvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI17	MOSFET	Bb	B	VGND	VNB	nlowvt	1	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI24	MOSFET	Ab	B	mid1	VNB	nlowvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI25	MOSFET	Abb	Bb	mid1	VNB	nlowvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI28	MOSFET	Abb	B	mid2	VNB	nlowvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI29	MOSFET	Ab	Bb	mid2	VNB	nlowvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
