D	GATE	RESET	SLEEP_B	KAPWR	VGND	VPWR	:	Qt	:	Qt+1	Comments
?	?	?	0	1	0	?	:	?	:	-	Retain state during sleep
?	0	0	*	1	0	1	:	?	:	-	Retain state during sleep
?	0	1	*	1	0	1	:	?	:	-	Retain state during sleep
?	0	x	*	1	0	1	:	?	:	x	SLEEPB cannot change if clear is unknown
?	1	?	*	1	0	1	:	?	:	x	SLEEPB cannot change unless GATE is low
?	x	?	*	1	0	1	:	?	:	x	SLEEPB cannot change unless GATE is low
?	?	?	*	1	0	x	:	?	:	x	SLEEPB cannot change unless VPWR is high
?	?	?	*	1	0	0	:	?	:	x	SLEEPB cannot change unless VPWR is high
*	0	0	1	1	0	1	:	?	:	-	
?	?	1	1	1	0	1	:	?	:	0	asynchro clear
?	(?0)	0	1	1	0	1	:	?	:	-	Changed R=? to R=0
?	(1x)	0	1	1	0	1	:	?	:	-	Changed R=? to R=0
0	(0x)	0	1	1	0	1	:	0	:	0	
1	(0x)	0	1	1	0	1	:	1	:	1	
0	(x1)	0	1	1	0	1	:	?	:	0	
1	(x1)	0	1	1	0	1	:	?	:	1	
(?0)	1	0	1	1	0	1	:	?	:	0	
(?1)	1	0	1	1	0	1	:	?	:	1	
0	(01)	0	1	1	0	1	:	?	:	0	
1	(01)	0	1	1	0	1	:	?	:	1	
?	0	(?x)	1	1	0	1	:	0	:	0	Reducing pessimism.//AB
*	0	x	1	1	0	1	:	0	:	0	Reducing pessimism//AB
0	(?1)	x	1	1	0	1	:	?	:	0	Reducing pessimism.
(?0)	1	x	1	1	0	1	:	?	:	0	Reducing pessimism.
0	1	(?x)	1	1	0	1	:	?	:	0	Reducing pessimism.//AB
?	0	(?0)	1	1	0	1	:	?	:	-	ignore edge on clear
0	1	(?0)	1	1	0	1	:	?	:	0	pessimism .
1	1	(?0)	1	1	0	1	:	?	:	1	
(?1)	x	0	1	1	0	1	:	1	:	1	Reducing pessimism.
(?0)	x	0	1	1	0	1	:	0	:	0	Reducing pessimism.
?	?	?	?	*	?	1	:	?	:	x	unknown if kapwr changes
?	?	?	?	?	*	1	:	?	:	x	unknown if vgnd changes
